id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,clockSec
4018101894,4,"{'id': '615', 'text': 'Jumpball'}",Neemias Queta vs. Marvin Bagley III (Payton Pritchard gains possession),0,0,1,12:00,False,0,{'id': '2'},"[{'athlete': {'id': '4397424'}}, {'athlete': {'id': '4277848'}}, {'athlete': {'id': '4066354'}}]",2025-12-05T00:11:14Z,False,"{'x': -214748340, 'y': -214748365}",0,Jump Ball,720.0
4018101897,7,"{'id': '112', 'text': 'Reverse Layup Shot'}",Neemias Queta makes 1-foot two point shot (Jordan Walsh assists),2,0,1,11:41,True,2,{'id': '2'},"[{'athlete': {'id': '4397424'}}, {'athlete': {'id': '4683689'}}]",2025-12-05T00:11:31Z,True,"{'x': 25, 'y': 1}",2,+2 Points,701.0
4018101899,9,"{'id': '95', 'text': 'Layup Shot'}",Khris Middleton makes layup (CJ McCollum assists),2,2,1,11:23,True,2,{'id': '27'},"[{'athlete': {'id': '6609'}}, {'athlete': {'id': '2490149'}}]",2025-12-05T00:11:49Z,True,"{'x': 24, 'y': 2}",2,+2 Points,683.0
40181018911,11,"{'id': '114', 'text': 'Turnaround Jump Shot'}",Derrick White makes 14-foot two point shot (Sam Hauser assists),4,2,1,11:00,True,2,{'id': '2'},"[{'athlete': {'id': '3078576'}}, {'athlete': {'id': '4065804'}}]",2025-12-05T00:12:11Z,True,"{'x': 14, 'y': 9}",2,+2 Points,660.0
40181018913,13,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Khris Middleton makes 13-foot two point shot (CJ McCollum assists),4,4,1,10:36,True,2,{'id': '27'},"[{'athlete': {'id': '6609'}}, {'athlete': {'id': '2490149'}}]",2025-12-05T00:12:34Z,True,"{'x': 12, 'y': 3}",2,+2 Points,636.0
40181018915,15,"{'id': '130', 'text': 'Floating Jump Shot'}",Neemias Queta makes 13-foot two point shot (Payton Pritchard assists),6,4,1,10:17,True,2,{'id': '2'},"[{'athlete': {'id': '4397424'}}, {'athlete': {'id': '4066354'}}]",2025-12-05T00:12:53Z,True,"{'x': 20, 'y': 13}",2,+2 Points,617.0
40181018917,17,"{'id': '110', 'text': 'Driving Layup Shot'}",Marvin Bagley III misses driving layup,6,4,1,10:02,False,0,{'id': '27'},[{'athlete': {'id': '4277848'}}],2025-12-05T00:13:09Z,True,"{'x': 29, 'y': 2}",2,Missed FG,602.0
40181018918,18,"{'id': '156', 'text': 'Offensive Rebound'}",Wizards offensive team rebound,6,4,1,10:02,False,0,{'id': '27'},,2025-12-05T00:13:09Z,False,"{'x': 29, 'y': 2}",0,Rebound,602.0
40181018920,20,"{'id': '90', 'text': 'Out of Bounds - Bad Pass Turnover'}",Marvin Bagley III out of bounds bad pass turnover,6,4,1,10:02,False,0,{'id': '27'},[{'athlete': {'id': '4277848'}}],2025-12-05T00:13:38Z,False,"{'x': 14, 'y': 4}",0,Turnover,602.0
40181018921,21,"{'id': '131', 'text': 'Pullup Jump Shot'}",Payton Pritchard misses 30-foot three point pullup jump shot,6,4,1,9:50,False,0,{'id': '2'},[{'athlete': {'id': '4066354'}}],2025-12-05T00:14:10Z,True,"{'x': 36, 'y': 29}",3,Missed 3PT,590.0
40181018922,22,"{'id': '155', 'text': 'Defensive Rebound'}",Khris Middleton defensive rebound,6,4,1,9:47,False,0,{'id': '27'},[{'athlete': {'id': '6609'}}],2025-12-05T00:14:13Z,False,"{'x': 36, 'y': 29}",0,Rebound,587.0
40181018923,23,"{'id': '45', 'text': 'Personal Foul'}",Payton Pritchard personal foul,6,4,1,9:38,False,0,{'id': '2'},[{'athlete': {'id': '4066354'}}],2025-12-05T00:14:23Z,False,"{'x': 10, 'y': 5}",0,Foul,578.0
40181018925,25,"{'id': '92', 'text': 'Jump Shot'}",CJ McCollum misses 25-foot three point jumper,6,4,1,9:35,False,0,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:14:40Z,True,"{'x': 25, 'y': 26}",3,Missed 3PT,575.0
40181018926,26,"{'id': '155', 'text': 'Defensive Rebound'}",Sam Hauser defensive rebound,6,4,1,9:32,False,0,{'id': '2'},[{'athlete': {'id': '4065804'}}],2025-12-05T00:14:43Z,False,"{'x': 25, 'y': 26}",0,Rebound,572.0
40181018927,27,"{'id': '146', 'text': 'Running Pullup Jump Shot'}",Sam Hauser makes 30-foot running pullup jump shot (Payton Pritchard assists),9,4,1,9:28,True,3,{'id': '2'},"[{'athlete': {'id': '4065804'}}, {'athlete': {'id': '4066354'}}]",2025-12-05T00:14:47Z,True,"{'x': 17, 'y': 29}",3,+3 Points,568.0
40181018929,29,"{'id': '63', 'text': 'Lost Ball Turnover'}",CJ McCollum lost ball turnover (Jordan Walsh steals),9,4,1,9:18,False,0,{'id': '27'},"[{'athlete': {'id': '2490149'}}, {'athlete': {'id': '4683689'}}]",2025-12-05T00:14:59Z,False,"{'x': 37, 'y': 36}",0,Turnover,558.0
40181018931,31,"{'id': '116', 'text': 'Running Dunk Shot'}",Jordan Walsh makes dunk,11,4,1,9:16,True,2,{'id': '2'},[{'athlete': {'id': '4683689'}}],2025-12-05T00:15:02Z,True,"{'x': 25, 'y': 0}",2,+2 Points,556.0
40181018932,32,"{'id': '16', 'text': 'Full Timeout'}",Wizards Full timeout,11,4,1,9:14,False,0,{'id': '27'},,2025-12-05T00:15:06Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,554.0
40181018933,33,"{'id': '45', 'text': 'Personal Foul'}",Jordan Walsh personal foul,11,4,1,8:59,False,0,{'id': '2'},[{'athlete': {'id': '4683689'}}],2025-12-05T00:18:14Z,False,"{'x': 6, 'y': 14}",0,Foul,539.0
40181018935,35,"{'id': '95', 'text': 'Layup Shot'}",Marvin Bagley III makes layup (Khris Middleton assists),11,6,1,8:49,True,2,{'id': '27'},"[{'athlete': {'id': '4277848'}}, {'athlete': {'id': '6609'}}]",2025-12-05T00:18:35Z,True,"{'x': 23, 'y': 0}",2,+2 Points,529.0
40181018937,37,"{'id': '92', 'text': 'Jump Shot'}",Sam Hauser misses 28-foot three point jumper,11,6,1,8:40,False,0,{'id': '2'},[{'athlete': {'id': '4065804'}}],2025-12-05T00:18:44Z,True,"{'x': 14, 'y': 27}",3,Missed 3PT,520.0
40181018938,38,"{'id': '155', 'text': 'Defensive Rebound'}",Jamir Watkins defensive rebound,11,6,1,8:37,False,0,{'id': '27'},[{'athlete': {'id': '4606840'}}],2025-12-05T00:18:47Z,False,"{'x': 14, 'y': 27}",0,Rebound,517.0
40181018939,39,"{'id': '92', 'text': 'Jump Shot'}",Kyshawn George misses 23-foot three point jumper,11,6,1,8:24,False,0,{'id': '27'},[{'athlete': {'id': '5174563'}}],2025-12-05T00:19:00Z,True,"{'x': 2, 'y': -1}",3,Missed 3PT,504.0
40181018940,40,"{'id': '155', 'text': 'Defensive Rebound'}",Derrick White defensive rebound,11,6,1,8:22,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:19:02Z,False,"{'x': 2, 'y': -1}",0,Rebound,502.0
40181018941,41,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Derrick White bad pass (Kyshawn George steals),11,6,1,8:21,False,0,{'id': '2'},"[{'athlete': {'id': '3078576'}}, {'athlete': {'id': '5174563'}}]",2025-12-05T00:19:07Z,False,"{'x': 14, 'y': -1}",0,Turnover,501.0
40181018943,43,"{'id': '131', 'text': 'Pullup Jump Shot'}",Kyshawn George makes 14-foot pullup jump shot,11,8,1,8:08,True,2,{'id': '27'},[{'athlete': {'id': '5174563'}}],2025-12-05T00:19:16Z,True,"{'x': 23, 'y': 15}",2,+2 Points,488.0
40181018944,44,"{'id': '45', 'text': 'Personal Foul'}",Kyshawn George personal foul,11,8,1,7:51,False,0,{'id': '27'},[{'athlete': {'id': '5174563'}}],2025-12-05T00:19:35Z,False,"{'x': 26, 'y': 28}",0,Foul,471.0
40181018946,46,"{'id': '141', 'text': 'Cutting Layup Shot'}",Neemias Queta makes 5-foot layup (Derrick White assists),13,8,1,7:41,True,2,{'id': '2'},"[{'athlete': {'id': '4397424'}}, {'athlete': {'id': '3078576'}}]",2025-12-05T00:20:03Z,True,"{'x': 30, 'y': -1}",2,+2 Points,461.0
40181018948,48,"{'id': '86', 'text': 'Out of Bounds - Step Turnover'}",CJ McCollum steps out of bounds turnover,13,8,1,7:33,False,0,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:20:15Z,False,"{'x': 35, 'y': -4}",0,Turnover,453.0
40181018949,49,"{'id': '92', 'text': 'Jump Shot'}",Derrick White misses 25-foot three point jumper,13,8,1,7:25,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:20:28Z,True,"{'x': 5, 'y': 16}",3,Missed 3PT,445.0
40181018950,50,"{'id': '156', 'text': 'Offensive Rebound'}",Celtics offensive team rebound,13,8,1,7:23,False,0,{'id': '2'},,2025-12-05T00:20:30Z,False,"{'x': 5, 'y': 16}",0,Rebound,443.0
40181018951,51,"{'id': '43', 'text': 'Loose Ball Foul'}",CJ McCollum loose ball foul,13,8,1,7:23,False,0,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:20:34Z,False,"{'x': 28, 'y': 1}",0,Foul,443.0
40181018953,53,"{'id': '584', 'text': 'Substitution'}",Anfernee Simons enters the game for Payton Pritchard,13,8,1,7:23,False,0,{'id': '2'},"[{'athlete': {'id': '4351851'}}, {'athlete': {'id': '4066354'}}]",2025-12-05T00:20:41Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,443.0
40181018955,55,"{'id': '151', 'text': 'Cutting Dunk Shot'}",Neemias Queta makes 1-foot dunk (Derrick White assists),15,8,1,7:13,True,2,{'id': '2'},"[{'athlete': {'id': '4397424'}}, {'athlete': {'id': '3078576'}}]",2025-12-05T00:21:10Z,True,"{'x': 26, 'y': 1}",2,+2 Points,433.0
40181018957,57,"{'id': '44', 'text': 'Shooting Foul'}",Anfernee Simons shooting foul,15,8,1,6:59,False,0,{'id': '2'},[{'athlete': {'id': '4351851'}}],2025-12-05T00:21:25Z,False,"{'x': 48, 'y': 2}",0,Foul,419.0
40181018959,59,"{'id': '100', 'text': 'Free Throw - 1 of 3'}",CJ McCollum makes free throw 1 of 3,15,9,1,6:59,True,1,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:21:51Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,419.0
40181018960,60,"{'id': '101', 'text': 'Free Throw - 2 of 3'}",CJ McCollum makes free throw 2 of 3,15,10,1,6:59,True,1,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:22:06Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,419.0
40181018961,61,"{'id': '102', 'text': 'Free Throw - 3 of 3'}",CJ McCollum makes free throw 3 of 3,15,11,1,6:59,True,1,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:22:19Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,419.0
40181018962,62,"{'id': '131', 'text': 'Pullup Jump Shot'}",Derrick White misses 27-foot three point pullup jump shot,15,11,1,6:41,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:22:38Z,True,"{'x': 14, 'y': 26}",3,Missed 3PT,401.0
40181018963,63,"{'id': '156', 'text': 'Offensive Rebound'}",Jordan Walsh offensive rebound,15,11,1,6:38,False,0,{'id': '2'},[{'athlete': {'id': '4683689'}}],2025-12-05T00:22:41Z,False,"{'x': 14, 'y': 26}",0,Rebound,398.0
40181018964,64,"{'id': '131', 'text': 'Pullup Jump Shot'}",Anfernee Simons misses 26-foot three point pullup jump shot,15,11,1,6:31,False,0,{'id': '2'},[{'athlete': {'id': '4351851'}}],2025-12-05T00:22:49Z,True,"{'x': 20, 'y': 26}",3,Missed 3PT,391.0
40181018965,65,"{'id': '155', 'text': 'Defensive Rebound'}",Marvin Bagley III defensive rebound,15,11,1,6:28,False,0,{'id': '27'},[{'athlete': {'id': '4277848'}}],2025-12-05T00:22:52Z,False,"{'x': 20, 'y': 26}",0,Rebound,388.0
40181018966,66,"{'id': '134', 'text': 'Driving Jump Shot Bank'}",CJ McCollum makes 2-foot two point shot (Jamir Watkins assists),15,13,1,6:16,True,2,{'id': '27'},"[{'athlete': {'id': '2490149'}}, {'athlete': {'id': '4606840'}}]",2025-12-05T00:23:04Z,True,"{'x': 23, 'y': 1}",2,+2 Points,376.0
40181018967,67,"{'id': '131', 'text': 'Pullup Jump Shot'}",Derrick White makes 26-foot three pointer,18,13,1,5:49,True,3,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:23:30Z,True,"{'x': 44, 'y': 19}",3,+3 Points,349.0
40181018968,68,"{'id': '63', 'text': 'Lost Ball Turnover'}",Khris Middleton lost ball turnover (Derrick White steals),18,13,1,5:32,False,0,{'id': '27'},"[{'athlete': {'id': '6609'}}, {'athlete': {'id': '3078576'}}]",2025-12-05T00:23:48Z,False,"{'x': 22, 'y': 13}",0,Turnover,332.0
40181018970,70,"{'id': '109', 'text': 'Running Layup Shot'}",Derrick White makes two point shot (Sam Hauser assists),20,13,1,5:27,True,2,{'id': '2'},"[{'athlete': {'id': '3078576'}}, {'athlete': {'id': '4065804'}}]",2025-12-05T00:23:53Z,True,"{'x': 24, 'y': 0}",2,+2 Points,327.0
40181018972,72,"{'id': '92', 'text': 'Jump Shot'}",Kyshawn George makes 29-foot three point jumper (Jamir Watkins assists),20,16,1,5:11,True,3,{'id': '27'},"[{'athlete': {'id': '5174563'}}, {'athlete': {'id': '4606840'}}]",2025-12-05T00:24:08Z,True,"{'x': 6, 'y': 23}",3,+3 Points,311.0
40181018975,75,"{'id': '131', 'text': 'Pullup Jump Shot'}",Anfernee Simons misses 16-foot pullup jump shot,20,16,1,4:54,False,0,{'id': '2'},[{'athlete': {'id': '4351851'}}],2025-12-05T00:24:24Z,True,"{'x': 37, 'y': 11}",2,Missed FG,294.0
40181018976,76,"{'id': '155', 'text': 'Defensive Rebound'}",Khris Middleton defensive rebound,20,16,1,4:52,False,0,{'id': '27'},[{'athlete': {'id': '6609'}}],2025-12-05T00:24:26Z,False,"{'x': 37, 'y': 11}",0,Rebound,292.0
40181018977,77,"{'id': '131', 'text': 'Pullup Jump Shot'}",Khris Middleton misses 15-foot pullup jump shot,20,16,1,4:45,False,0,{'id': '27'},[{'athlete': {'id': '6609'}}],2025-12-05T00:24:34Z,True,"{'x': 38, 'y': 9}",2,Missed FG,285.0
40181018978,78,"{'id': '155', 'text': 'Defensive Rebound'}",Neemias Queta defensive rebound,20,16,1,4:42,False,0,{'id': '2'},[{'athlete': {'id': '4397424'}}],2025-12-05T00:24:37Z,False,"{'x': 38, 'y': 9}",0,Rebound,282.0
40181018979,79,"{'id': '146', 'text': 'Running Pullup Jump Shot'}",Derrick White misses running pullup jump shot,20,16,1,4:37,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:24:42Z,True,"{'x': 14, 'y': 28}",3,Missed 3PT,277.0
40181018980,80,"{'id': '155', 'text': 'Defensive Rebound'}",Wizards defensive team rebound,20,16,1,4:35,False,0,{'id': '27'},,2025-12-05T00:24:44Z,False,"{'x': 14, 'y': 28}",0,Rebound,275.0
40181018982,82,"{'id': '584', 'text': 'Substitution'}",Bub Carrington enters the game for Kyshawn George,20,16,1,4:35,False,0,{'id': '27'},"[{'athlete': {'id': '4845374'}}, {'athlete': {'id': '5174563'}}]",2025-12-05T00:24:49Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,275.0
40181018984,84,"{'id': '45', 'text': 'Personal Foul'}",Neemias Queta personal foul,20,16,1,4:19,False,0,{'id': '2'},[{'athlete': {'id': '4397424'}}],2025-12-05T00:25:37Z,False,"{'x': 21, 'y': 6}",0,Foul,259.0
40181018986,86,"{'id': '584', 'text': 'Substitution'}",Cam Whitmore enters the game for Khris Middleton,20,16,1,4:19,False,0,{'id': '27'},"[{'athlete': {'id': '5105592'}}, {'athlete': {'id': '6609'}}]",2025-12-05T00:25:42Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,259.0
40181018987,87,"{'id': '584', 'text': 'Substitution'}",Hugo Gonzalez enters the game for Jordan Walsh,20,16,1,4:19,False,0,{'id': '2'},"[{'athlete': {'id': '5175647'}}, {'athlete': {'id': '4683689'}}]",2025-12-05T00:25:42Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,259.0
401810189115,115,"{'id': '584', 'text': 'Substitution'}",Will Riley enters the game for Jamir Watkins,20,16,1,4:19,False,0,{'id': '27'},"[{'athlete': {'id': '5144126'}}, {'athlete': {'id': '4606840'}}]",2025-12-05T00:25:42Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,259.0
40181018990,90,"{'id': '131', 'text': 'Pullup Jump Shot'}",Bub Carrington misses 15-foot pullup jump shot,20,16,1,4:13,False,0,{'id': '27'},[{'athlete': {'id': '4845374'}}],2025-12-05T00:26:13Z,True,"{'x': 39, 'y': 8}",2,Missed FG,253.0
40181018991,91,"{'id': '155', 'text': 'Defensive Rebound'}",Derrick White defensive rebound,20,16,1,4:10,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:26:16Z,False,"{'x': 39, 'y': 8}",0,Rebound,250.0
40181018995,95,"{'id': '584', 'text': 'Substitution'}",Tristan Vukcevic enters the game for Marvin Bagley III,20,16,1,4:05,False,0,{'id': '27'},"[{'athlete': {'id': '4997537'}}, {'athlete': {'id': '4277848'}}]",2025-12-05T00:26:40Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,245.0
40181018996,96,"{'id': '584', 'text': 'Substitution'}",Josh Minott enters the game for Neemias Queta,20,16,1,4:05,False,0,{'id': '2'},"[{'athlete': {'id': '4687718'}}, {'athlete': {'id': '4397424'}}]",2025-12-05T00:26:40Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,245.0
401810189100,100,"{'id': '110', 'text': 'Driving Layup Shot'}",Tristan Vukcevic blocks Anfernee Simons 's 10-foot driving layup,20,16,1,3:58,False,0,{'id': '2'},"[{'athlete': {'id': '4351851'}}, {'athlete': {'id': '4997537'}}]",2025-12-05T00:26:55Z,True,"{'x': 35, 'y': 3}",2,Missed FG,238.0
401810189102,102,"{'id': '155', 'text': 'Defensive Rebound'}",CJ McCollum defensive rebound,20,16,1,3:54,False,0,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:26:59Z,False,"{'x': 35, 'y': 3}",0,Rebound,234.0
401810189103,103,"{'id': '87', 'text': 'Out of Bounds - Lost Ball Turnover'}",Bub Carrington out of bounds lost ball turnover,20,16,1,3:52,False,0,{'id': '27'},[{'athlete': {'id': '4845374'}}],2025-12-05T00:27:03Z,False,"{'x': 19, 'y': 8}",0,Turnover,232.0
401810189104,104,"{'id': '92', 'text': 'Jump Shot'}",Josh Minott makes 24-foot three point jumper (Anfernee Simons assists),23,16,1,3:31,True,3,{'id': '2'},"[{'athlete': {'id': '4687718'}}, {'athlete': {'id': '4351851'}}]",2025-12-05T00:27:31Z,True,"{'x': 48, 'y': 7}",3,+3 Points,211.0
401810189106,106,"{'id': '131', 'text': 'Pullup Jump Shot'}",Cam Whitmore misses 13-foot pullup jump shot,23,16,1,3:15,False,0,{'id': '27'},[{'athlete': {'id': '5105592'}}],2025-12-05T00:27:47Z,True,"{'x': 22, 'y': 14}",2,Missed FG,195.0
401810189107,107,"{'id': '155', 'text': 'Defensive Rebound'}",Celtics defensive team rebound,23,16,1,3:15,False,0,{'id': '2'},,2025-12-05T00:27:47Z,False,"{'x': 22, 'y': 14}",0,Rebound,195.0
401810189109,109,"{'id': '144', 'text': 'Driving Floating Jump Shot'}",Derrick White makes 7-foot driving floating jump shot,25,16,1,2:54,True,2,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:28:15Z,True,"{'x': 25, 'y': 8}",2,+2 Points,174.0
401810189110,110,"{'id': '92', 'text': 'Jump Shot'}",Will Riley misses 26-foot three point jumper,25,16,1,2:37,False,0,{'id': '27'},[{'athlete': {'id': '5144126'}}],2025-12-05T00:28:32Z,True,"{'x': 36, 'y': 25}",3,Missed 3PT,157.0
401810189111,111,"{'id': '155', 'text': 'Defensive Rebound'}",Josh Minott defensive rebound,25,16,1,2:36,False,0,{'id': '2'},[{'athlete': {'id': '4687718'}}],2025-12-05T00:28:33Z,False,"{'x': 36, 'y': 25}",0,Rebound,156.0
401810189112,112,"{'id': '63', 'text': 'Lost Ball Turnover'}",Josh Minott lost ball turnover (CJ McCollum steals),25,16,1,2:35,False,0,{'id': '2'},"[{'athlete': {'id': '4687718'}}, {'athlete': {'id': '2490149'}}]",2025-12-05T00:28:38Z,False,"{'x': 26, 'y': 2}",0,Turnover,155.0
401810189114,114,"{'id': '95', 'text': 'Layup Shot'}",CJ McCollum misses layup,25,16,1,2:34,False,0,{'id': '27'},[{'athlete': {'id': '2490149'}}],2025-12-05T00:28:41Z,True,"{'x': 27, 'y': 3}",2,Missed FG,154.0
401810189116,116,"{'id': '156', 'text': 'Offensive Rebound'}",Tristan Vukcevic offensive rebound,25,16,1,2:32,False,0,{'id': '27'},[{'athlete': {'id': '4997537'}}],2025-12-05T00:28:43Z,False,"{'x': 27, 'y': 3}",0,Rebound,152.0
401810189117,117,"{'id': '95', 'text': 'Layup Shot'}",Tristan Vukcevic makes layup,25,18,1,2:28,True,2,{'id': '27'},[{'athlete': {'id': '4997537'}}],2025-12-05T00:28:44Z,True,"{'x': 27, 'y': 2}",2,+2 Points,148.0
401810189118,118,"{'id': '16', 'text': 'Full Timeout'}",Celtics Full timeout,25,18,1,2:28,False,0,{'id': '2'},,2025-12-05T00:28:49Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,148.0
401810189120,120,"{'id': '584', 'text': 'Substitution'}",Kyshawn George enters the game for CJ McCollum,25,18,1,2:28,False,0,{'id': '27'},"[{'athlete': {'id': '5174563'}}, {'athlete': {'id': '2490149'}}]",2025-12-05T00:29:08Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,148.0
401810189121,121,"{'id': '584', 'text': 'Substitution'}",Payton Pritchard enters the game for Sam Hauser,25,18,1,2:28,False,0,{'id': '2'},"[{'athlete': {'id': '4066354'}}, {'athlete': {'id': '4065804'}}]",2025-12-05T00:29:08Z,False,"{'x': -214748340, 'y': -214748365}",0,Substitution,148.0
401810189124,124,"{'id': '132', 'text': 'Step Back Jump Shot'}",Payton Pritchard misses 15-foot step back jumpshot,25,18,1,2:09,False,0,{'id': '2'},[{'athlete': {'id': '4066354'}}],2025-12-05T00:31:56Z,True,"{'x': 28, 'y': 15}",2,Missed FG,129.0
401810189125,125,"{'id': '155', 'text': 'Defensive Rebound'}",Kyshawn George defensive rebound,25,18,1,2:04,False,0,{'id': '27'},[{'athlete': {'id': '5174563'}}],2025-12-05T00:32:01Z,False,"{'x': 28, 'y': 15}",0,Rebound,124.0
401810189126,126,"{'id': '109', 'text': 'Running Layup Shot'}",Hugo Gonzalez blocks Cam Whitmore 's 2-foot two point shot,25,18,1,2:00,False,0,{'id': '27'},"[{'athlete': {'id': '5105592'}}, {'athlete': {'id': '5175647'}}]",2025-12-05T00:32:04Z,True,"{'x': 26, 'y': 2}",2,Missed FG,120.0
401810189128,128,"{'id': '156', 'text': 'Offensive Rebound'}",Bub Carrington offensive rebound,25,18,1,1:58,False,0,{'id': '27'},[{'athlete': {'id': '4845374'}}],2025-12-05T00:32:06Z,False,"{'x': 26, 'y': 2}",0,Rebound,118.0
401810189129,129,"{'id': '92', 'text': 'Jump Shot'}",Will Riley makes 23-foot three point jumper (Tristan Vukcevic assists),25,21,1,1:54,True,3,{'id': '27'},"[{'athlete': {'id': '5144126'}}, {'athlete': {'id': '4997537'}}]",2025-12-05T00:32:11Z,True,"{'x': 48, 'y': 0}",3,+3 Points,114.0
401810189131,131,"{'id': '110', 'text': 'Driving Layup Shot'}",Anfernee Simons misses driving layup,25,21,1,1:38,False,0,{'id': '2'},[{'athlete': {'id': '4351851'}}],2025-12-05T00:32:26Z,True,"{'x': 25, 'y': 3}",2,Missed FG,98.0
401810189132,132,"{'id': '155', 'text': 'Defensive Rebound'}",Will Riley defensive rebound,25,21,1,1:37,False,0,{'id': '27'},[{'athlete': {'id': '5144126'}}],2025-12-05T00:32:27Z,False,"{'x': 25, 'y': 3}",0,Rebound,97.0
401810189133,133,"{'id': '109', 'text': 'Running Layup Shot'}",Cam Whitmore makes two point shot (Will Riley assists),25,23,1,1:33,True,2,{'id': '27'},"[{'athlete': {'id': '5105592'}}, {'athlete': {'id': '5144126'}}]",2025-12-05T00:32:32Z,True,"{'x': 27, 'y': 1}",2,+2 Points,93.0
401810189135,135,"{'id': '92', 'text': 'Jump Shot'}",Hugo Gonzalez makes 23-foot three point jumper (Payton Pritchard assists),28,23,1,1:22,True,3,{'id': '2'},"[{'athlete': {'id': '5175647'}}, {'athlete': {'id': '4066354'}}]",2025-12-05T00:32:42Z,True,"{'x': 49, 'y': 0}",3,+3 Points,82.0
401810189137,137,"{'id': '16', 'text': 'Full Timeout'}",Wizards Full timeout,28,23,1,1:21,False,0,{'id': '27'},,2025-12-05T00:32:48Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,81.0
401810189138,138,"{'id': '121', 'text': 'Fade Away Jump Shot'}",Kyshawn George misses 16-foot two point shot,28,23,1,1:02,False,0,{'id': '27'},[{'athlete': {'id': '5174563'}}],2025-12-05T00:34:31Z,True,"{'x': 41, 'y': 5}",2,Missed FG,62.0
401810189139,139,"{'id': '155', 'text': 'Defensive Rebound'}",Hugo Gonzalez defensive rebound,28,23,1,59.7,False,0,{'id': '2'},[{'athlete': {'id': '5175647'}}],2025-12-05T00:34:33Z,False,"{'x': 41, 'y': 5}",0,Rebound,59.7
401810189140,140,"{'id': '92', 'text': 'Jump Shot'}",Derrick White misses 25-foot three point jumper,28,23,1,53.0,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:34:40Z,True,"{'x': 3, 'y': 13}",3,Missed 3PT,53.0
401810189141,141,"{'id': '156', 'text': 'Offensive Rebound'}",Celtics offensive team rebound,28,23,1,51.7,False,0,{'id': '2'},,2025-12-05T00:34:42Z,False,"{'x': 3, 'y': 13}",0,Rebound,51.7
401810189142,142,"{'id': '43', 'text': 'Loose Ball Foul'}",Will Riley loose ball foul,28,23,1,51.7,False,0,{'id': '27'},[{'athlete': {'id': '5144126'}}],2025-12-05T00:34:45Z,False,"{'x': 22, 'y': 6}",0,Foul,51.7
401810189144,144,"{'id': '40', 'text': 'Away from Play Foul'}",Will Riley away from play foul,28,23,1,51.7,False,0,{'id': '27'},[{'athlete': {'id': '5144126'}}],2025-12-05T00:35:05Z,False,"{'x': 15, 'y': 8}",0,Foul,51.7
401810189146,146,"{'id': '97', 'text': 'Free Throw - 1 of 1'}",Payton Pritchard makes free throw 1 of 1,29,23,1,51.7,True,1,{'id': '2'},[{'athlete': {'id': '4066354'}}],2025-12-05T00:35:28Z,True,"{'x': -214748340, 'y': -214748365}",1,+1 Point,51.7
401810189147,147,"{'id': '92', 'text': 'Jump Shot'}",Derrick White misses 23-foot three point jumper,29,23,1,39.6,False,0,{'id': '2'},[{'athlete': {'id': '3078576'}}],2025-12-05T00:35:53Z,True,"{'x': 2, 'y': -1}",3,Missed 3PT,39.6
401810189148,148,"{'id': '156', 'text': 'Offensive Rebound'}",Celtics offensive team rebound,29,23,1,37.4,False,0,{'id': '2'},,2025-12-05T00:35:56Z,False,"{'x': 2, 'y': -1}",0,Rebound,37.4
